Disease_Entity	LSF_Entity	Relationship_Type	Publication_ID	Category	Disease_BRAT_ID	LSF_BRAT_ID	Disease_Entity_Span	LSF_Entity_Span	Abstract_Text
diarrhea	probiotics	Prevents	28189153	dev	T7	T4	447:455	348:358	"Antivirulence Properties of Probiotics in Combating Microbial Pathogenesis. 
Probiotics are nonpathogenic microorganisms that confer a health benefit on the host when administered in adequate amounts. Ample evidence is documented to support the potential application of probiotics for the prevention and treatment of infections. Health benefits of probiotics include prevention of diarrhea, including antibiotic-associated diarrhea and traveler's diarrhea, atopic eczema, dental carries, colorectal cancers, and treatment of inflammatory bowel disease. The cumulative body of scientific evidence that demonstrates the beneficial effects of probiotics on health and disease prevention has made probiotics increasingly important as a part of human nutrition and led to a surge in the demand for probiotics in clinical applications and as functional foods. The ability of probiotics to promote health is attributed to the various beneficial effects exerted by these microorganisms on the host. These include lactose metabolism and food digestion, production of antimicrobial peptides and control of enteric infections, anticarcinogenic properties, immunologic enhancement, enhancement of short-chain fatty acid production, antiatherogenic and cholesterol-lowering attributes, regulatory role in allergy, protection against vaginal or urinary tract infections, increased nutritional value, maintenance of epithelial integrity and barrier, stimulation of repair mechanism in cells, and maintenance and reestablishment of well-balanced indigenous intestinal and respiratory microbial communities. Most of these attributes primarily focus on the effect of probiotic supplementation on the host. Hence, in most cases, it can be concluded that the ability of a probiotic to protect the host from infection is an indirect result of promoting overall health and well-being. However, probiotics also exert a direct effect on invading microorganisms. The direct modes of action resulting in the elimination of pathogens include inhibition of pathogen replication by producing antimicrobial substances like bacteriocins, competition for limiting resources in the host, antitoxin effect, inhibition of virulence, antiadhesive and antiinvasive effects, and competitive exclusion by competition for binding sites or stimulation of epithelial barrier function. Although much has been documented about the ability of probiotics to promote host health, there is limited discussion on the above mentioned effects of probiotics on pathogens. Being in an era of antibiotic resistance, a better understanding of this complex probiotic-pathogen interaction is critical for development of effective strategies to control infections. Therefore, this chapter will focus on the ability of probiotics to directly modulate the infectious nature of pathogens and the underlying mechanisms that mediate these effects."
atopic eczema	probiotics	Prevents	28189153	dev	T8	T4	457:470	348:358	"Antivirulence Properties of Probiotics in Combating Microbial Pathogenesis. 
Probiotics are nonpathogenic microorganisms that confer a health benefit on the host when administered in adequate amounts. Ample evidence is documented to support the potential application of probiotics for the prevention and treatment of infections. Health benefits of probiotics include prevention of diarrhea, including antibiotic-associated diarrhea and traveler's diarrhea, atopic eczema, dental carries, colorectal cancers, and treatment of inflammatory bowel disease. The cumulative body of scientific evidence that demonstrates the beneficial effects of probiotics on health and disease prevention has made probiotics increasingly important as a part of human nutrition and led to a surge in the demand for probiotics in clinical applications and as functional foods. The ability of probiotics to promote health is attributed to the various beneficial effects exerted by these microorganisms on the host. These include lactose metabolism and food digestion, production of antimicrobial peptides and control of enteric infections, anticarcinogenic properties, immunologic enhancement, enhancement of short-chain fatty acid production, antiatherogenic and cholesterol-lowering attributes, regulatory role in allergy, protection against vaginal or urinary tract infections, increased nutritional value, maintenance of epithelial integrity and barrier, stimulation of repair mechanism in cells, and maintenance and reestablishment of well-balanced indigenous intestinal and respiratory microbial communities. Most of these attributes primarily focus on the effect of probiotic supplementation on the host. Hence, in most cases, it can be concluded that the ability of a probiotic to protect the host from infection is an indirect result of promoting overall health and well-being. However, probiotics also exert a direct effect on invading microorganisms. The direct modes of action resulting in the elimination of pathogens include inhibition of pathogen replication by producing antimicrobial substances like bacteriocins, competition for limiting resources in the host, antitoxin effect, inhibition of virulence, antiadhesive and antiinvasive effects, and competitive exclusion by competition for binding sites or stimulation of epithelial barrier function. Although much has been documented about the ability of probiotics to promote host health, there is limited discussion on the above mentioned effects of probiotics on pathogens. Being in an era of antibiotic resistance, a better understanding of this complex probiotic-pathogen interaction is critical for development of effective strategies to control infections. Therefore, this chapter will focus on the ability of probiotics to directly modulate the infectious nature of pathogens and the underlying mechanisms that mediate these effects."
colorectal cancers	probiotics	Prevents	28189153	dev	T9	T4	488:506	348:358	"Antivirulence Properties of Probiotics in Combating Microbial Pathogenesis. 
Probiotics are nonpathogenic microorganisms that confer a health benefit on the host when administered in adequate amounts. Ample evidence is documented to support the potential application of probiotics for the prevention and treatment of infections. Health benefits of probiotics include prevention of diarrhea, including antibiotic-associated diarrhea and traveler's diarrhea, atopic eczema, dental carries, colorectal cancers, and treatment of inflammatory bowel disease. The cumulative body of scientific evidence that demonstrates the beneficial effects of probiotics on health and disease prevention has made probiotics increasingly important as a part of human nutrition and led to a surge in the demand for probiotics in clinical applications and as functional foods. The ability of probiotics to promote health is attributed to the various beneficial effects exerted by these microorganisms on the host. These include lactose metabolism and food digestion, production of antimicrobial peptides and control of enteric infections, anticarcinogenic properties, immunologic enhancement, enhancement of short-chain fatty acid production, antiatherogenic and cholesterol-lowering attributes, regulatory role in allergy, protection against vaginal or urinary tract infections, increased nutritional value, maintenance of epithelial integrity and barrier, stimulation of repair mechanism in cells, and maintenance and reestablishment of well-balanced indigenous intestinal and respiratory microbial communities. Most of these attributes primarily focus on the effect of probiotic supplementation on the host. Hence, in most cases, it can be concluded that the ability of a probiotic to protect the host from infection is an indirect result of promoting overall health and well-being. However, probiotics also exert a direct effect on invading microorganisms. The direct modes of action resulting in the elimination of pathogens include inhibition of pathogen replication by producing antimicrobial substances like bacteriocins, competition for limiting resources in the host, antitoxin effect, inhibition of virulence, antiadhesive and antiinvasive effects, and competitive exclusion by competition for binding sites or stimulation of epithelial barrier function. Although much has been documented about the ability of probiotics to promote host health, there is limited discussion on the above mentioned effects of probiotics on pathogens. Being in an era of antibiotic resistance, a better understanding of this complex probiotic-pathogen interaction is critical for development of effective strategies to control infections. Therefore, this chapter will focus on the ability of probiotics to directly modulate the infectious nature of pathogens and the underlying mechanisms that mediate these effects."
inflammatory bowel disease	probiotics	Treats	28189153	dev	T10	T4	525:551	348:358	"Antivirulence Properties of Probiotics in Combating Microbial Pathogenesis. 
Probiotics are nonpathogenic microorganisms that confer a health benefit on the host when administered in adequate amounts. Ample evidence is documented to support the potential application of probiotics for the prevention and treatment of infections. Health benefits of probiotics include prevention of diarrhea, including antibiotic-associated diarrhea and traveler's diarrhea, atopic eczema, dental carries, colorectal cancers, and treatment of inflammatory bowel disease. The cumulative body of scientific evidence that demonstrates the beneficial effects of probiotics on health and disease prevention has made probiotics increasingly important as a part of human nutrition and led to a surge in the demand for probiotics in clinical applications and as functional foods. The ability of probiotics to promote health is attributed to the various beneficial effects exerted by these microorganisms on the host. These include lactose metabolism and food digestion, production of antimicrobial peptides and control of enteric infections, anticarcinogenic properties, immunologic enhancement, enhancement of short-chain fatty acid production, antiatherogenic and cholesterol-lowering attributes, regulatory role in allergy, protection against vaginal or urinary tract infections, increased nutritional value, maintenance of epithelial integrity and barrier, stimulation of repair mechanism in cells, and maintenance and reestablishment of well-balanced indigenous intestinal and respiratory microbial communities. Most of these attributes primarily focus on the effect of probiotic supplementation on the host. Hence, in most cases, it can be concluded that the ability of a probiotic to protect the host from infection is an indirect result of promoting overall health and well-being. However, probiotics also exert a direct effect on invading microorganisms. The direct modes of action resulting in the elimination of pathogens include inhibition of pathogen replication by producing antimicrobial substances like bacteriocins, competition for limiting resources in the host, antitoxin effect, inhibition of virulence, antiadhesive and antiinvasive effects, and competitive exclusion by competition for binding sites or stimulation of epithelial barrier function. Although much has been documented about the ability of probiotics to promote host health, there is limited discussion on the above mentioned effects of probiotics on pathogens. Being in an era of antibiotic resistance, a better understanding of this complex probiotic-pathogen interaction is critical for development of effective strategies to control infections. Therefore, this chapter will focus on the ability of probiotics to directly modulate the infectious nature of pathogens and the underlying mechanisms that mediate these effects."
vaginal	probiotics	Prevents	28189153	dev	T22	T14	1320:1327	869:879	"Antivirulence Properties of Probiotics in Combating Microbial Pathogenesis. 
Probiotics are nonpathogenic microorganisms that confer a health benefit on the host when administered in adequate amounts. Ample evidence is documented to support the potential application of probiotics for the prevention and treatment of infections. Health benefits of probiotics include prevention of diarrhea, including antibiotic-associated diarrhea and traveler's diarrhea, atopic eczema, dental carries, colorectal cancers, and treatment of inflammatory bowel disease. The cumulative body of scientific evidence that demonstrates the beneficial effects of probiotics on health and disease prevention has made probiotics increasingly important as a part of human nutrition and led to a surge in the demand for probiotics in clinical applications and as functional foods. The ability of probiotics to promote health is attributed to the various beneficial effects exerted by these microorganisms on the host. These include lactose metabolism and food digestion, production of antimicrobial peptides and control of enteric infections, anticarcinogenic properties, immunologic enhancement, enhancement of short-chain fatty acid production, antiatherogenic and cholesterol-lowering attributes, regulatory role in allergy, protection against vaginal or urinary tract infections, increased nutritional value, maintenance of epithelial integrity and barrier, stimulation of repair mechanism in cells, and maintenance and reestablishment of well-balanced indigenous intestinal and respiratory microbial communities. Most of these attributes primarily focus on the effect of probiotic supplementation on the host. Hence, in most cases, it can be concluded that the ability of a probiotic to protect the host from infection is an indirect result of promoting overall health and well-being. However, probiotics also exert a direct effect on invading microorganisms. The direct modes of action resulting in the elimination of pathogens include inhibition of pathogen replication by producing antimicrobial substances like bacteriocins, competition for limiting resources in the host, antitoxin effect, inhibition of virulence, antiadhesive and antiinvasive effects, and competitive exclusion by competition for binding sites or stimulation of epithelial barrier function. Although much has been documented about the ability of probiotics to promote host health, there is limited discussion on the above mentioned effects of probiotics on pathogens. Being in an era of antibiotic resistance, a better understanding of this complex probiotic-pathogen interaction is critical for development of effective strategies to control infections. Therefore, this chapter will focus on the ability of probiotics to directly modulate the infectious nature of pathogens and the underlying mechanisms that mediate these effects."
urinary tract infections	probiotics	Prevents	28189153	dev	T15	T14	1331:1355	869:879	"Antivirulence Properties of Probiotics in Combating Microbial Pathogenesis. 
Probiotics are nonpathogenic microorganisms that confer a health benefit on the host when administered in adequate amounts. Ample evidence is documented to support the potential application of probiotics for the prevention and treatment of infections. Health benefits of probiotics include prevention of diarrhea, including antibiotic-associated diarrhea and traveler's diarrhea, atopic eczema, dental carries, colorectal cancers, and treatment of inflammatory bowel disease. The cumulative body of scientific evidence that demonstrates the beneficial effects of probiotics on health and disease prevention has made probiotics increasingly important as a part of human nutrition and led to a surge in the demand for probiotics in clinical applications and as functional foods. The ability of probiotics to promote health is attributed to the various beneficial effects exerted by these microorganisms on the host. These include lactose metabolism and food digestion, production of antimicrobial peptides and control of enteric infections, anticarcinogenic properties, immunologic enhancement, enhancement of short-chain fatty acid production, antiatherogenic and cholesterol-lowering attributes, regulatory role in allergy, protection against vaginal or urinary tract infections, increased nutritional value, maintenance of epithelial integrity and barrier, stimulation of repair mechanism in cells, and maintenance and reestablishment of well-balanced indigenous intestinal and respiratory microbial communities. Most of these attributes primarily focus on the effect of probiotic supplementation on the host. Hence, in most cases, it can be concluded that the ability of a probiotic to protect the host from infection is an indirect result of promoting overall health and well-being. However, probiotics also exert a direct effect on invading microorganisms. The direct modes of action resulting in the elimination of pathogens include inhibition of pathogen replication by producing antimicrobial substances like bacteriocins, competition for limiting resources in the host, antitoxin effect, inhibition of virulence, antiadhesive and antiinvasive effects, and competitive exclusion by competition for binding sites or stimulation of epithelial barrier function. Although much has been documented about the ability of probiotics to promote host health, there is limited discussion on the above mentioned effects of probiotics on pathogens. Being in an era of antibiotic resistance, a better understanding of this complex probiotic-pathogen interaction is critical for development of effective strategies to control infections. Therefore, this chapter will focus on the ability of probiotics to directly modulate the infectious nature of pathogens and the underlying mechanisms that mediate these effects."
dental carries	probiotics	Prevents	28189153	dev	T21	T4	472:486	348:358	"Antivirulence Properties of Probiotics in Combating Microbial Pathogenesis. 
Probiotics are nonpathogenic microorganisms that confer a health benefit on the host when administered in adequate amounts. Ample evidence is documented to support the potential application of probiotics for the prevention and treatment of infections. Health benefits of probiotics include prevention of diarrhea, including antibiotic-associated diarrhea and traveler's diarrhea, atopic eczema, dental carries, colorectal cancers, and treatment of inflammatory bowel disease. The cumulative body of scientific evidence that demonstrates the beneficial effects of probiotics on health and disease prevention has made probiotics increasingly important as a part of human nutrition and led to a surge in the demand for probiotics in clinical applications and as functional foods. The ability of probiotics to promote health is attributed to the various beneficial effects exerted by these microorganisms on the host. These include lactose metabolism and food digestion, production of antimicrobial peptides and control of enteric infections, anticarcinogenic properties, immunologic enhancement, enhancement of short-chain fatty acid production, antiatherogenic and cholesterol-lowering attributes, regulatory role in allergy, protection against vaginal or urinary tract infections, increased nutritional value, maintenance of epithelial integrity and barrier, stimulation of repair mechanism in cells, and maintenance and reestablishment of well-balanced indigenous intestinal and respiratory microbial communities. Most of these attributes primarily focus on the effect of probiotic supplementation on the host. Hence, in most cases, it can be concluded that the ability of a probiotic to protect the host from infection is an indirect result of promoting overall health and well-being. However, probiotics also exert a direct effect on invading microorganisms. The direct modes of action resulting in the elimination of pathogens include inhibition of pathogen replication by producing antimicrobial substances like bacteriocins, competition for limiting resources in the host, antitoxin effect, inhibition of virulence, antiadhesive and antiinvasive effects, and competitive exclusion by competition for binding sites or stimulation of epithelial barrier function. Although much has been documented about the ability of probiotics to promote host health, there is limited discussion on the above mentioned effects of probiotics on pathogens. Being in an era of antibiotic resistance, a better understanding of this complex probiotic-pathogen interaction is critical for development of effective strategies to control infections. Therefore, this chapter will focus on the ability of probiotics to directly modulate the infectious nature of pathogens and the underlying mechanisms that mediate these effects."
allergy	probiotics	Controls	28189153	dev	T24	T14	1292:1299	869:879	"Antivirulence Properties of Probiotics in Combating Microbial Pathogenesis. 
Probiotics are nonpathogenic microorganisms that confer a health benefit on the host when administered in adequate amounts. Ample evidence is documented to support the potential application of probiotics for the prevention and treatment of infections. Health benefits of probiotics include prevention of diarrhea, including antibiotic-associated diarrhea and traveler's diarrhea, atopic eczema, dental carries, colorectal cancers, and treatment of inflammatory bowel disease. The cumulative body of scientific evidence that demonstrates the beneficial effects of probiotics on health and disease prevention has made probiotics increasingly important as a part of human nutrition and led to a surge in the demand for probiotics in clinical applications and as functional foods. The ability of probiotics to promote health is attributed to the various beneficial effects exerted by these microorganisms on the host. These include lactose metabolism and food digestion, production of antimicrobial peptides and control of enteric infections, anticarcinogenic properties, immunologic enhancement, enhancement of short-chain fatty acid production, antiatherogenic and cholesterol-lowering attributes, regulatory role in allergy, protection against vaginal or urinary tract infections, increased nutritional value, maintenance of epithelial integrity and barrier, stimulation of repair mechanism in cells, and maintenance and reestablishment of well-balanced indigenous intestinal and respiratory microbial communities. Most of these attributes primarily focus on the effect of probiotic supplementation on the host. Hence, in most cases, it can be concluded that the ability of a probiotic to protect the host from infection is an indirect result of promoting overall health and well-being. However, probiotics also exert a direct effect on invading microorganisms. The direct modes of action resulting in the elimination of pathogens include inhibition of pathogen replication by producing antimicrobial substances like bacteriocins, competition for limiting resources in the host, antitoxin effect, inhibition of virulence, antiadhesive and antiinvasive effects, and competitive exclusion by competition for binding sites or stimulation of epithelial barrier function. Although much has been documented about the ability of probiotics to promote host health, there is limited discussion on the above mentioned effects of probiotics on pathogens. Being in an era of antibiotic resistance, a better understanding of this complex probiotic-pathogen interaction is critical for development of effective strategies to control infections. Therefore, this chapter will focus on the ability of probiotics to directly modulate the infectious nature of pathogens and the underlying mechanisms that mediate these effects."
enteric infections	probiotics	Controls	28189153	dev	T28	T14	1096:1114	869:879	"Antivirulence Properties of Probiotics in Combating Microbial Pathogenesis. 
Probiotics are nonpathogenic microorganisms that confer a health benefit on the host when administered in adequate amounts. Ample evidence is documented to support the potential application of probiotics for the prevention and treatment of infections. Health benefits of probiotics include prevention of diarrhea, including antibiotic-associated diarrhea and traveler's diarrhea, atopic eczema, dental carries, colorectal cancers, and treatment of inflammatory bowel disease. The cumulative body of scientific evidence that demonstrates the beneficial effects of probiotics on health and disease prevention has made probiotics increasingly important as a part of human nutrition and led to a surge in the demand for probiotics in clinical applications and as functional foods. The ability of probiotics to promote health is attributed to the various beneficial effects exerted by these microorganisms on the host. These include lactose metabolism and food digestion, production of antimicrobial peptides and control of enteric infections, anticarcinogenic properties, immunologic enhancement, enhancement of short-chain fatty acid production, antiatherogenic and cholesterol-lowering attributes, regulatory role in allergy, protection against vaginal or urinary tract infections, increased nutritional value, maintenance of epithelial integrity and barrier, stimulation of repair mechanism in cells, and maintenance and reestablishment of well-balanced indigenous intestinal and respiratory microbial communities. Most of these attributes primarily focus on the effect of probiotic supplementation on the host. Hence, in most cases, it can be concluded that the ability of a probiotic to protect the host from infection is an indirect result of promoting overall health and well-being. However, probiotics also exert a direct effect on invading microorganisms. The direct modes of action resulting in the elimination of pathogens include inhibition of pathogen replication by producing antimicrobial substances like bacteriocins, competition for limiting resources in the host, antitoxin effect, inhibition of virulence, antiadhesive and antiinvasive effects, and competitive exclusion by competition for binding sites or stimulation of epithelial barrier function. Although much has been documented about the ability of probiotics to promote host health, there is limited discussion on the above mentioned effects of probiotics on pathogens. Being in an era of antibiotic resistance, a better understanding of this complex probiotic-pathogen interaction is critical for development of effective strategies to control infections. Therefore, this chapter will focus on the ability of probiotics to directly modulate the infectious nature of pathogens and the underlying mechanisms that mediate these effects."
abdominal obesity	television time	positive_statistical_association	32963328	dev	T28	T29	3471:3488	3373:3388	"Secular trends in sedentary behaviors and associations with weight indicators among Chinese reproductive-age women from 2004 to 2015: findings from the China Health and Nutrition Survey. 
BACKGROUND: Overweight and obesity are rising among Chinese reproductive-age women, while some studies have focused on the relationship between sedentary behavior and obesity in certain populations, none has focused on Chinese reproductive-age women specifically. This study examined secular trends in leisure time sedentary behaviors (watching television time, computer time and reading time, and the total sedentary time) among Chinese reproductive-age women and the association of those behaviors with five weight indicators-body mass index (BMI), waist circumference (WC) and overweight, obesity, and abdominal obesity status. METHODS: A prospective cohort study was conducted with Chinese reproductive-age women aged 15-49 who had participated in two or more rounds of the China Health and Nutrition Survey (CHNS), and completed the questionnaire and anthropometric measurements. The exposure variables were the average weekly time spent on three leisure time sedentary behaviors (watching television, using computer, and reading) and the total sedentary time (the sum of the above three sedentary time and video game time). Mixed-effect linear models were produced to explore the secular trends of the mean hours of these sedentary behaviors and the total sedentary time after adjusting covariates. Models were also produced to study the effects of these types of sedentary behavior levels on BMI and WC. Mixed-effect logistic regression models were produced to study the effects of the sedentary behavior levels on overweight, obesity, and abdominal obesity status. RESULTS: The total sedentary time among the reproductive-age women increased over time across most of age, region, educational levels, and income groups from 2004 to 2015. Television hours fluctuated, it increased and then declined over time across most of age, region, and income groups. Computer hours continually increased over time across all age, region, educational level, and income groups. Reading hours gradually decreased over time across most of age, region, educational level, and income groups. Those with a moderate level of television time (14 to <35 h/week) had 1.08 cm larger WCs and were 1.31 times more likely to have abdominal obesity than those with a low level of television time (<14 h/week). Those with a high level of television time (>=35 h/week) had 1.74 cm larger WCs, 0.66 kg/m(2) larger BMIs, were 1.50 times more likely to be overweight and were 1.47 times more likely to have abdominal obesity than those with a low level of television time (<14 h/week). Greater computer, reading time, and total sedentary time were not associated with WC, BMI, overweight, obesity, or abdominal obesity. CONCLUSIONS: These findings showed that among Chinese reproductive-age women ages 15-49, secular trends of computer time increased rapidly, reading time decreased gradually and television time fluctuated but showed not much difference from 2004 to 2015. The sharp increase in computer time far outweighed the decline in reading time. As a result, the overall sedentary behavior time of Chinese reproductive-age women gradually increased. These findings provided strong evidence that greater television time was significantly associated with higher BMI, WC, and higher risks of overweight, abdominal obesity among Chinese reproductive-age women. Computer, reading, and the total sedentary time were not associated with those weight indicators."
abdominal obesity	television time	positive_statistical_association	32963328	dev	T32	T33	2398:2415	2300:2315	"Secular trends in sedentary behaviors and associations with weight indicators among Chinese reproductive-age women from 2004 to 2015: findings from the China Health and Nutrition Survey. 
BACKGROUND: Overweight and obesity are rising among Chinese reproductive-age women, while some studies have focused on the relationship between sedentary behavior and obesity in certain populations, none has focused on Chinese reproductive-age women specifically. This study examined secular trends in leisure time sedentary behaviors (watching television time, computer time and reading time, and the total sedentary time) among Chinese reproductive-age women and the association of those behaviors with five weight indicators-body mass index (BMI), waist circumference (WC) and overweight, obesity, and abdominal obesity status. METHODS: A prospective cohort study was conducted with Chinese reproductive-age women aged 15-49 who had participated in two or more rounds of the China Health and Nutrition Survey (CHNS), and completed the questionnaire and anthropometric measurements. The exposure variables were the average weekly time spent on three leisure time sedentary behaviors (watching television, using computer, and reading) and the total sedentary time (the sum of the above three sedentary time and video game time). Mixed-effect linear models were produced to explore the secular trends of the mean hours of these sedentary behaviors and the total sedentary time after adjusting covariates. Models were also produced to study the effects of these types of sedentary behavior levels on BMI and WC. Mixed-effect logistic regression models were produced to study the effects of the sedentary behavior levels on overweight, obesity, and abdominal obesity status. RESULTS: The total sedentary time among the reproductive-age women increased over time across most of age, region, educational levels, and income groups from 2004 to 2015. Television hours fluctuated, it increased and then declined over time across most of age, region, and income groups. Computer hours continually increased over time across all age, region, educational level, and income groups. Reading hours gradually decreased over time across most of age, region, educational level, and income groups. Those with a moderate level of television time (14 to <35 h/week) had 1.08 cm larger WCs and were 1.31 times more likely to have abdominal obesity than those with a low level of television time (<14 h/week). Those with a high level of television time (>=35 h/week) had 1.74 cm larger WCs, 0.66 kg/m(2) larger BMIs, were 1.50 times more likely to be overweight and were 1.47 times more likely to have abdominal obesity than those with a low level of television time (<14 h/week). Greater computer, reading time, and total sedentary time were not associated with WC, BMI, overweight, obesity, or abdominal obesity. CONCLUSIONS: These findings showed that among Chinese reproductive-age women ages 15-49, secular trends of computer time increased rapidly, reading time decreased gradually and television time fluctuated but showed not much difference from 2004 to 2015. The sharp increase in computer time far outweighed the decline in reading time. As a result, the overall sedentary behavior time of Chinese reproductive-age women gradually increased. These findings provided strong evidence that greater television time was significantly associated with higher BMI, WC, and higher risks of overweight, abdominal obesity among Chinese reproductive-age women. Computer, reading, and the total sedentary time were not associated with those weight indicators."
abdominal obesity	television time	positive_statistical_association	32963328	dev	T36	T34	2669:2686	2504:2519	"Secular trends in sedentary behaviors and associations with weight indicators among Chinese reproductive-age women from 2004 to 2015: findings from the China Health and Nutrition Survey. 
BACKGROUND: Overweight and obesity are rising among Chinese reproductive-age women, while some studies have focused on the relationship between sedentary behavior and obesity in certain populations, none has focused on Chinese reproductive-age women specifically. This study examined secular trends in leisure time sedentary behaviors (watching television time, computer time and reading time, and the total sedentary time) among Chinese reproductive-age women and the association of those behaviors with five weight indicators-body mass index (BMI), waist circumference (WC) and overweight, obesity, and abdominal obesity status. METHODS: A prospective cohort study was conducted with Chinese reproductive-age women aged 15-49 who had participated in two or more rounds of the China Health and Nutrition Survey (CHNS), and completed the questionnaire and anthropometric measurements. The exposure variables were the average weekly time spent on three leisure time sedentary behaviors (watching television, using computer, and reading) and the total sedentary time (the sum of the above three sedentary time and video game time). Mixed-effect linear models were produced to explore the secular trends of the mean hours of these sedentary behaviors and the total sedentary time after adjusting covariates. Models were also produced to study the effects of these types of sedentary behavior levels on BMI and WC. Mixed-effect logistic regression models were produced to study the effects of the sedentary behavior levels on overweight, obesity, and abdominal obesity status. RESULTS: The total sedentary time among the reproductive-age women increased over time across most of age, region, educational levels, and income groups from 2004 to 2015. Television hours fluctuated, it increased and then declined over time across most of age, region, and income groups. Computer hours continually increased over time across all age, region, educational level, and income groups. Reading hours gradually decreased over time across most of age, region, educational level, and income groups. Those with a moderate level of television time (14 to <35 h/week) had 1.08 cm larger WCs and were 1.31 times more likely to have abdominal obesity than those with a low level of television time (<14 h/week). Those with a high level of television time (>=35 h/week) had 1.74 cm larger WCs, 0.66 kg/m(2) larger BMIs, were 1.50 times more likely to be overweight and were 1.47 times more likely to have abdominal obesity than those with a low level of television time (<14 h/week). Greater computer, reading time, and total sedentary time were not associated with WC, BMI, overweight, obesity, or abdominal obesity. CONCLUSIONS: These findings showed that among Chinese reproductive-age women ages 15-49, secular trends of computer time increased rapidly, reading time decreased gradually and television time fluctuated but showed not much difference from 2004 to 2015. The sharp increase in computer time far outweighed the decline in reading time. As a result, the overall sedentary behavior time of Chinese reproductive-age women gradually increased. These findings provided strong evidence that greater television time was significantly associated with higher BMI, WC, and higher risks of overweight, abdominal obesity among Chinese reproductive-age women. Computer, reading, and the total sedentary time were not associated with those weight indicators."
obesity	computer	NO_statistical_association	32963328	dev	T25	T41	2851:2858	2756:2764	"Secular trends in sedentary behaviors and associations with weight indicators among Chinese reproductive-age women from 2004 to 2015: findings from the China Health and Nutrition Survey. 
BACKGROUND: Overweight and obesity are rising among Chinese reproductive-age women, while some studies have focused on the relationship between sedentary behavior and obesity in certain populations, none has focused on Chinese reproductive-age women specifically. This study examined secular trends in leisure time sedentary behaviors (watching television time, computer time and reading time, and the total sedentary time) among Chinese reproductive-age women and the association of those behaviors with five weight indicators-body mass index (BMI), waist circumference (WC) and overweight, obesity, and abdominal obesity status. METHODS: A prospective cohort study was conducted with Chinese reproductive-age women aged 15-49 who had participated in two or more rounds of the China Health and Nutrition Survey (CHNS), and completed the questionnaire and anthropometric measurements. The exposure variables were the average weekly time spent on three leisure time sedentary behaviors (watching television, using computer, and reading) and the total sedentary time (the sum of the above three sedentary time and video game time). Mixed-effect linear models were produced to explore the secular trends of the mean hours of these sedentary behaviors and the total sedentary time after adjusting covariates. Models were also produced to study the effects of these types of sedentary behavior levels on BMI and WC. Mixed-effect logistic regression models were produced to study the effects of the sedentary behavior levels on overweight, obesity, and abdominal obesity status. RESULTS: The total sedentary time among the reproductive-age women increased over time across most of age, region, educational levels, and income groups from 2004 to 2015. Television hours fluctuated, it increased and then declined over time across most of age, region, and income groups. Computer hours continually increased over time across all age, region, educational level, and income groups. Reading hours gradually decreased over time across most of age, region, educational level, and income groups. Those with a moderate level of television time (14 to <35 h/week) had 1.08 cm larger WCs and were 1.31 times more likely to have abdominal obesity than those with a low level of television time (<14 h/week). Those with a high level of television time (>=35 h/week) had 1.74 cm larger WCs, 0.66 kg/m(2) larger BMIs, were 1.50 times more likely to be overweight and were 1.47 times more likely to have abdominal obesity than those with a low level of television time (<14 h/week). Greater computer, reading time, and total sedentary time were not associated with WC, BMI, overweight, obesity, or abdominal obesity. CONCLUSIONS: These findings showed that among Chinese reproductive-age women ages 15-49, secular trends of computer time increased rapidly, reading time decreased gradually and television time fluctuated but showed not much difference from 2004 to 2015. The sharp increase in computer time far outweighed the decline in reading time. As a result, the overall sedentary behavior time of Chinese reproductive-age women gradually increased. These findings provided strong evidence that greater television time was significantly associated with higher BMI, WC, and higher risks of overweight, abdominal obesity among Chinese reproductive-age women. Computer, reading, and the total sedentary time were not associated with those weight indicators."
